"price","retail","ad_boost","rate","badge_ct","bg_local","bg_quality","bg_fastship","color","size","inventory","ship_price","able_country","total_invent","has_bg_urgency","origin","seller_rate_ct","seller_rate","has_seller_propic","sold_ct_3","rate5_pct","rate4_pct","rate3_pct","rate2_pct","rate1_pct"
16,14,0,3.76,0,0,0,0,"white","m",50,4,34,50,1,"CN",568,4.12852112676056,0,"below 100",0.481481481481481,0.148148148148148,0.185185185185185,0.0185185185185185,0.166666666666667
8,22,1,3.45,0,0,0,0,"green","xs",50,2,41,50,1,"CN",17752,3.89967327625056,0,"above 10K",0.369845150774246,0.167400162999185,0.182233088834556,0.104971475142624,0.175550122249389
8,43,0,3.57,0,0,0,0,"yellow","xs",1,3,36,50,1,"CN",295,3.98983050847458,0,"below 100",0.357142857142857,0.285714285714286,0.142857142857143,0,0.214285714285714
8,8,1,4.03,0,0,0,0,"black","m",50,2,41,50,0,"CN",23832,4.02043470963411,0,"between 100 and 10k",0.509499136442142,0.20552677029361,0.150259067357513,0.0725388601036269,0.0621761658031088
2.72,3,1,3.1,0,0,0,0,"yellow","s",1,1,35,50,1,"CN",14482,4.00158817842839,0,"below 100",0.3,0.2,0.1,0.1,0.3
3.92,9,0,5,0,0,0,0,"blue","xs",1,1,40,50,0,"CN",65,3.50769230769231,0,"below 100",1,0,0,0,0
7,6,0,3.84,0,0,0,0,"white","xs",50,2,31,50,0,"CN",10194,4.07651559741024,1,"above 10K",0.470483536042717,0.200533966182142,0.144022545238802,0.072678730347078,0.112281222189261
12,11,0,3.76,0,0,0,0,"blue","m",50,3,139,50,0,"CN",342,3.6812865497076,0,"between 100 and 10k",0.41958041958042,0.195804195804196,0.213286713286713,0.0629370629370629,0.108391608391608
11,84,1,3.47,0,0,0,0,"black","m",50,2,36,50,1,"CN",330,3.8030303030303,0,"below 100",0.4,0.133333333333333,0.2,0.0666666666666667,0.2
5.78,22,0,3.6,0,0,0,0,"others","s",50,2,33,50,0,"CN",5534,3.99981929887965,0,"between 100 and 10k",0.417758369723435,0.186317321688501,0.13391557496361,0.098981077147016,0.163027656477438
5.79,5,0,3.46,0,0,0,0,"others","xs",2,2,25,50,1,"CN",9470,3.95681098204857,0,"between 100 and 10k",0.399673735725938,0.164763458401305,0.132137030995106,0.099510603588907,0.203915171288744
6,8,1,3.31,0,0,0,0,"blue","xs",2,2,40,50,1,"CN",3515,3.98378378378378,0,"below 100",0.230769230769231,0.307692307692308,0.230769230769231,0,0.230769230769231
1.91,6,1,3.45,0,0,0,0,"others","xs",1,1,38,50,0,"CN",557,4.12387791741472,0,"between 100 and 10k",0.347517730496454,0.205673758865248,0.170212765957447,0.099290780141844,0.177304964539007
5.79,42,0,3.32,0,0,0,0,"red","s",50,2,43,50,0,"CN",5083,3.94747196537478,0,"between 100 and 10k",0.297520661157025,0.198347107438017,0.190082644628099,0.15702479338843,0.15702479338843
2,2,1,3.65,0,0,0,0,"yellow","s",1,1,36,50,0,"CN",55499,4.13888538532226,0,"above 10K",0.400488400488401,0.195767195767196,0.186813186813187,0.0838420838420838,0.133089133089133
11,81,0,3.92,0,0,0,0,"black","s",50,3,41,50,0,"CN",39381,4.06632640105635,0,"between 100 and 10k",0.47887323943662,0.220657276995305,0.145539906103286,0.0492957746478873,0.105633802816901
